artist_id,artist_name,popularity,followers,genres,photo
12gjCYtiDQHESRsVbFXvG0,Kareena Kapoor,39,14556,['modern bollywood'],https://i.scdn.co/image/ab6761610000e5ebf9edfe9ad2071cec9985a417
12y9Nfhf113GiJI3CnJwGd,Suzie Q,32,766,[],https://i.scdn.co/image/ab67616d0000b2732029d1e0a772450b140e9770
132X1A6XJBFJBLdRwrw9wF,Theme Music,9,50,[],[]
144SRhmGzbrBhwKP0LJXPC,Preeti Uttam Singh,25,5080,[],https://i.scdn.co/image/ab67616d0000b273cf768eb04f32cf515f308b68
14RCiE06AD27Eg0RvomOlU,D-Cypher,33,6199,"['desi hip hop', 'hindi hip hop']",https://i.scdn.co/image/ab6761610000e5ebc0746735186297a2f733f39c
15wPqbQiHGwqAtC119OGBD,Auriel Cordo,27,17,[],[]
16IWQKGP5XiiKxalXZuIMZ,Bhoomi Trivedi,47,57526,"['gujarati garba', 'gujarati pop']",https://i.scdn.co/image/ab6761610000e5eb8c390a4068d34cf67359a4f4
16giAXXqJDSVCtWRRYh2HN,Sayonara Philip,8,1416,[],https://i.scdn.co/image/ab67616d0000b27308ab22c441f162464a3048bf
17dThZkTlOa35pmzuunKAz,RDB,50,35621,['bhangra'],https://i.scdn.co/image/ab6761610000e5ebe0ea46037245918baf6ff22f
17slvN7PVFyVcRtWJchRqU,Taniskaa Sanghvi,45,1275,[],https://i.scdn.co/image/ab67616d0000b273ca5585b4e97cd9deeafb5c63
187TniBCUYUBlVTjmtsVi9,Music Mg,56,6931,['punjabi pop'],https://i.scdn.co/image/ab67616d0000b273151f7fb11349aeb019059bd5
19BiNaisDrfWU6UEv0ymMX,Tapan Raj,9,12,[],[]
19LIHDDSHBD5NyYHI3gpzB,Shilpa Rao,66,742626,"['filmi', 'modern bollywood', 'pakistani pop']",https://i.scdn.co/image/ab6761610000e5ebada368118a052fb40d3f1a68
19MVxKZZdPj2X0F8pi0OCT,Sukhwinder Singh,65,327173,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",https://i.scdn.co/image/ab6761610000e5ebc89e803f887e3829819bf82a
1ApHgy50VoxxG86FZ3v4z4,Pratima,25,12,[],https://i.scdn.co/image/ab67616d0000b27370d8b64ed19d9bd71c57cbf0
1BUoAbyYuvOr13MjHqgdOy,Maria Del Mar Fernandez,45,561,[],https://i.scdn.co/image/ab67616d0000b273814505bed7494444d6780fc1
1BYgLu5KRAj1ewCoY0UPJE,Gurinder Seagal Sardar G,16,574,[],https://i.scdn.co/image/ab67616d0000b273ba305662d0734dd49ea1ada4
1CwUuNEwAVFy1v7499k1b6,Manpreet Akhtar,36,1179,[],https://i.scdn.co/image/ab67616d0000b273ad003d9a38ee297a44821a7a
1DjoNMVe0jYejgYoGegVzC,Deane Sequeira,39,89,['desi hip hop'],https://i.scdn.co/image/ab67616d0000b273baf1227513e348790bebf48d
